TV,Radio,Social Media,Sales
230.1,37.8,69.2,22.1
44.5,39.3,45.1,10.4
17.2,45.9,69.3,9.3
151.5,41.3,58.5,18.5
180.8,10.8,58.4,12.9
8.7,48.9,75.0,7.2
57.5,32.8,23.5,11.8
120.2,19.6,11.6,13.2
8.6,2.1,1.0,4.8
199.8,2.6,21.2,10.6
66.1,5.8,24.2,8.6
214.7,31.6,24.6,17.6
23.8,35.1,65.9,9.2
97.5,7.6,7.2,9.7
204.1,32.9,46.0,19.0
195.4,47.7,52.0,22.4
67.8,36.6,114.0,12.3
145.4,12.1,41.3,15.8
137.9,46.4,59.0,19.2
241.1,37.2,23.5,23.8
107.4,14.0,10.9,10.7
229.5,20.1,33.2,12.7
66.9,11.7,36.8,9.6
62.3,12.6,18.3,9.7
61.5,22.5,16.8,12.6
286.0,15.9,7.3,26.2
18.4,10.6,80.2,10.6
39.5,41.1,5.8,10.8
75.1,35.7,22.8,14.7
68.4,51.4,15.3,16.8
213.4,24.7,20.1,17.6
112.9,17.4,38.7,15.4
69.0,9.3,0.9,9.3
19.4,16.4,22.3,6.6
151.4,41.3,13.2,18.3
135.9,10.2,13.0,15.0
97.4,7.1,23.8,11.8
50.0,11.6,3.7,8.4
116.0,7.7,23.1,11.0
76.4,26.7,22.3,12.4
239.3,15.5,27.3,15.6
102.7,29.6,8.4,14.0
131.7,31.9,30.7,18.3
69.2,14.7,24.8,11.2
31.8,16.9,36.8,7.7
89.4,9.9,35.7,10.6
199.8,11.6,53.6,10.8
100.4,29.4,23.8,12.8
106.8,14.2,27.5,12.4
49.4,24.4,33.7,8.7
78.2,1.5,14.1,9.2
95.7,1.4,5.4,10.5
92.7,28.9,23.2,13.0
38.2,3.7,13.8,7.6
88.3,25.5,3.2,12.7
162.5,16.9,0.8,16.8
153.5,19.3,68.3,12.2
24.3,25.7,1.0,8.5
155.9,4.3,9.3,11.9
49.0,73.6,36.9,15.7
51.3,22.4,61.5,10.7
55.3,13.2,32.8,9.7
41.8,15.9,1.0,8.6
251.4,38.5,45.7,23.0
248.4,30.2,20.2,20.2
24.7,8.7,3.4,9.8
175.7,15.4,2.4,14.8
79.5,29.7,20.1,16.6
27.5,1.6,20.7,6.3
79.2,28.1,13.0,15.8
100.0,9.6,3.4,10.7
106.4,8.2,5.7,10.4
37.8,40.4,81.2,11.0
122.1,51.7,49.3,20.5
154.6,7.1,2.3,15.6
87.2,11.8,25.9,10.6
69.7,20.5,18.2,11.7
99.8,1.5,19.4,11.4
50.8,48.7,47.8,13.6
60.0,23.4,38.3,10.5
39.6,16.6,8.7,6.7
88.0,26.2,1.0,14.7
101.2,4.4,11.0,10.4
219.3,36.5,41.2,22.3
100.5,14.1,20.8,12.4
41.8,25.8,15.0,9.0
51.4,41.4,24.4,11.0
84.8,50.7,35.5,17.3
93.6,18.7,54.2,15.7
149.7,35.3,2.0,17.3
120.8,3.2,13.6,13.4
141.4,5.3,25.4,13.2
96.4,52.0,13.0,15.0
106.6,44.5,20.2,15.6
100.9,6.0,29.4,10.5
217.7,33.5,59.0,19.4
50.4,25.5,20.5,9.8
66.4,5.0,25.8,8.5
52.9,6.0,6.7,8.3
23.5,39.3,19.0,8.8
55.7,87.6,26.8,23.5
72.6,20.7,50.2,11.5
24.2,31.8,36.9,9.7
50.7,27.6,13.4,10.7
39.0,37.7,49.6,10.6
68.2,6.3,9.6,9.7
76.1,26.3,33.8,12.5
103.8,36.5,88.0,15.8
117.2,14.7,5.4,13.1
201.5,27.0,32.8,19.3
222.4,3.0,13.1,11.7
288.3,43.0,71.8,25.5
69.9,20.4,18.0,11.2
199.8,3.9,55.2,11.5
42.3,51.6,25.5,10.5
50.0,78.5,33.0,21.7
50.0,6.0,4.0,10.5
